PyHEARTS Output Variables Reference (per‑cycle CSV),,
"The table lists each column emitted by *_pyhearts.csv, with a plain‑language description and how it is computed in the toolbox. For all threshold and species-specific values, see Python object: ProcessCycleConfig.",,
Feature Name,Description,Calculation
cycle_index,Cycle number (0-based) within the record,Index assigned during epoching; increments per retained R–R cycle
cycle_trend,Estimated linear trend slope within the cycle,Slope from line through first and last samples after baseline subtraction (linergress)
r_squared,Goodness-of-fit (R2) of Gaussian model,Squared Pearson correlation between detrended cycle and fitted sum of Gaussians
rmse,Root mean square error of fit,RMSE between detrended cycle and fitted waveform
P_global_center_idx,P wave center (absolute sample index),xs_samples[center_idx] after center refinement
P_global_le_idx,P wave left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided
P_global_ri_idx,P wave right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
P_center_ms,P wave center time (ms),(global_center_idx/fs)×1000
P_le_ms,P wave left-edge time (ms),(global_le_idx/fs)×1000
P_ri_ms,P wave right-edge time (ms),(global_ri_idx/fs)×1000
Q_global_center_idx,Q wave center (absolute sample index),xs_samples[center_idx] after center refinement
Q_global_le_idx,Q wave left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided)
Q_global_ri_idx,Q wave right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
Q_center_ms,Q wave center time (ms),(global_center_idx/fs)×1000
Q_le_ms,Q wave left-edge time (ms),(global_le_idx/fs)×1000
Q_ri_ms,Q wave right-edge time (ms),(global_ri_idx/fs)×1000
R_global_center_idx,R peak center (absolute sample index),xs_samples[center_idx] after center refinement
R_global_le_idx,R peak left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided)
R_global_ri_idx,R peak right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
R_center_ms,R peak center time (ms),(global_center_idx/fs)×1000
R_le_ms,R peak left-edge time (ms),(global_le_idx/fs)×1000
R_ri_ms,R peak right-edge time (ms),(global_ri_idx/fs)×1000
S_global_center_idx,S wave center (absolute sample index),xs_samples[center_idx] after center refinement
S_global_le_idx,S wave left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided)
S_global_ri_idx,S wave right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
S_center_ms,S wave center time (ms),(global_center_idx/fs)×1000
S_le_ms,S wave left-edge time (ms),(global_le_idx/fs)×1000
S_ri_ms,S wave right-edge time (ms),(global_ri_idx/fs)×1000
T_global_center_idx,T wave center (absolute sample index),xs_samples[center_idx] after center refinement
T_global_le_idx,T wave left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided)
T_global_ri_idx,T wave right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
T_center_ms,T wave center time (ms),(global_center_idx/fs)×1000
T_le_ms,T wave left-edge time (ms),(global_le_idx/fs)×1000
T_ri_ms,T wave right-edge time (ms),(global_ri_idx/fs)×1000
P_center_idx,P wave center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
P_le_idx,P wave left edge (relative index),"Search left from P center until signal ≤ baseline + 0.30 × (P_center − baseline); enforce min duration (≥20 ms human, ≥2 ms mouse)"
P_ri_idx,P wave right edge (relative index),"Search right from P center until signal ≤ baseline + 0.30 × (P_center − baseline); enforce min duration (≥20 ms human, ≥2 ms mouse)"
P_gauss_center,P wave Gaussian center (samples),Fitted μ from curve_fit
P_gauss_height,P wave Gaussian amplitude (mV),Fitted peak height on detrended signal
P_gauss_stdev_samples,P wave Gaussian σ (samples),"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples"
P_gauss_stdev_ms,P wave Gaussian σ (ms),σ(samples)×(1000/fs)
P_gauss_fwhm_samples,P wave Gaussian FWHM (samples),2√(2 ln 2)·σ
P_gauss_fwhm_ms,P wave Gaussian FWHM (ms),FWHM(samples)×(1000/fs)
P_center_voltage,P wave amplitude at center (mV),Detrended signal value at center_idx
P_le_voltage,P wave amplitude at left edge (mV),Detrended signal at le_idx
P_ri_voltage,P wave amplitude at right edge (mV),Detrended signal at ri_idx
P_duration_ms,P wave duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
P_rise_ms,P wave rise time (ms),(center_idx − le_idx) × (1000/fs)
P_decay_ms,P wave decay time (ms),(ri_idx − center_idx) × (1000/fs)
P_rdsm,P wave rise–decay symmetry,(center_idx − le_idx)/(ri_idx − le_idx)
P_sharpness,P wave sharpness (normalized),"95th percentile of |dV/dt| between P_le_idx and P_ri_idx, normalized by (P_center_voltage − baseline)"
P_voltage_integral_uv_ms,P wave voltage integral (µV·ms),"Trapz integral of detrended mV over [le_idx, ri_idx] ×1e6"
Q_center_idx,Q wave center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
Q_le_idx,Q wave left edge (relative index),"Search left from Q center until signal ≥ baseline + 0.30 × (Q_center − baseline) (Q negative), subject to minimum duration"
Q_ri_idx,Q wave right edge (relative index),"Search right from Q center until signal ≥ baseline + 0.30 × (Q_center − baseline) (Q negative), subject to minimum duration"
Q_gauss_center,Q wave Gaussian center (samples),Fitted μ from curve_fit
Q_gauss_height,Q wave Gaussian amplitude (mV),Fitted peak height on detrended signal
