Feature Name,Description,Calculation
cycle_index,Cycle number (0-based) within the record,Index assigned during epoching; increments per retained R–R cycle
cycle_trend,Estimated linear trend slope within the cycle,Slope from line through first and last samples after baseline subtraction (linergress)
r_squared,Goodness-of-fit (R2) of Gaussian model,Squared Pearson correlation between detrended cycle and fitted sum of Gaussians
rmse,Root mean square error of fit,RMSE between detrended cycle and fitted waveform
P_global_center_idx,P wave center (absolute sample index),xs_samples[center_idx] after center refinement
P_global_le_idx,P wave left edge (absolute sample index),xs_samples[le_idx] where signal crosses fraction threshold (std-guided
P_global_ri_idx,P wave right edge (absolute sample index),xs_samples[ri_idx] where signal crosses fraction threshold (std-guided)
P_center_ms,P wave center time (ms),(global_center_idx/fs)×1000
P_le_ms,P wave left-edge time (ms),(global_le_idx/fs)×1000
P_ri_ms,P wave right-edge time (ms),(global_ri_idx/fs)×1000
P_center_idx,P wave center (relative index),Rounded fitted center refined to local extremum within ±10 samples (or ±½FWHM for seeded)
P_le_idx,P wave left edge (relative index),"Search left from P center until signal ≤ baseline + 0.30 × (P_center − baseline); enforce min duration (≥20 ms human, ≥2 ms mouse)"
P_ri_idx,P wave right edge (relative index),"Search right from P center until signal ≤ baseline + 0.30 × (P_center − baseline); enforce min duration (≥20 ms human, ≥2 ms mouse)"
P_gauss_center,P wave Gaussian center (samples),Fitted μ from curve_fit
P_gauss_height,P wave Gaussian amplitude (mV),Fitted peak height on detrended signal
P_gauss_stdev_samples,P wave Gaussian σ (samples),"Fitted σ; initialized from FWHM/2.3548, min 0.5 samples"
P_gauss_stdev_ms,P wave Gaussian σ (ms),σ(samples)×(1000/fs)
P_gauss_fwhm_samples,P wave Gaussian FWHM (samples),2√(2 ln 2)·σ
P_gauss_fwhm_ms,P wave Gaussian FWHM (ms),FWHM(samples)×(1000/fs)
P_fwhm_le_idx,P FWHM-based left edge (cycle-relative samples),gauss_center - (gauss_fwhm_samples/2)
P_fwhm_ri_idx,P FWHM-based right edge (cycle-relative samples),gauss_center + (gauss_fwhm_samples/2)
P_fwhm_le_ms,P FWHM-based left edge time (ms),(fwhm_le_idx / sampling_rate) * 1000
P_fwhm_ri_ms,P FWHM-based right edge time (ms),(fwhm_ri_idx / sampling_rate) * 1000
P_fwhm_global_le_idx,P FWHM-based left edge (absolute sample index),xs_samples[int(round(fwhm_le_idx))]
P_fwhm_global_ri_idx,P FWHM-based right edge (absolute sample index),xs_samples[int(round(fwhm_ri_idx))]
P_center_voltage,P wave amplitude at center (mV),Detrended signal value at center_idx
P_le_voltage,P wave amplitude at left edge (mV),Detrended signal at le_idx
P_ri_voltage,P wave amplitude at right edge (mV),Detrended signal at ri_idx
P_duration_ms,P wave duration (ms),(ri_idx − le_idx) × (1000/fs); must exceed species minimum
P_rise_ms,P wave rise time (ms),(center_idx − le_idx) × (1000/fs)
